name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,34.9,1550,25.6,Black / Silver,
Cooler Master Hyper 212 Black Edition,29.99,"650,2000","6.5,26",Black,
ARCTIC Liquid Freezer III 360,135.99,"200,1800",,Black,360
ARCTIC Liquid Freezer III 360 A-RGB,,"200,2000",,Black,360
Corsair iCUE H150i ELITE CAPELLIX XT,203.22,"550,2100","5,34.1",Black,360
Thermalright Phantom Spirit 120 SE ARGB,37.9,1500,25.6,Black / Silver,
NZXT Kraken Elite 360 RGB,279.99,"500,1800","17.9,30.6",White,360
Noctua NH-D15 chromax.black,119.95,"300,1500","19.2,24.6",Black,
NZXT Kraken Elite 360 RGB,279.99,"500,1800","17.9,30.6",Black,360
ARCTIC Liquid Freezer III 240,128.15,"200,1800",,Black,240
ARCTIC Liquid Freezer III 360 A-RGB,110.1,"200,2000",,White,360
Thermalright Phantom Spirit 120 SE,35.9,1500,25.6,Black / Silver,
Thermalright Assassin X 120 Refined SE,17.89,1550,25.6,Black / Silver,
Cooler Master MasterLiquid 360L Core ARGB,99.99,"350,1750",27.2,Black,360
NZXT Kraken 240,139.99,"500,1800","17.9,30.6",Black,240
Thermalright Aqua Elite V3,54.9,1500,25.6,Black,360
NZXT Kraken 360,179.9,"500,1800","17.9,30.6",Black,360
ID-COOLING SE-214-XT ARGB,17.98,"500,1500","13.8,30.5",Black,
Thermalright Peerless Assassin 120 SE ARGB,36.9,1550,25.6,Black,
AMD Wraith Prism,61.57,2800,42,,
Noctua NH-D15,109.95,"300,1500","19.2,24.6",,
Asus ROG STRIX LC 360 RGB GUNDAM,1621,"800,2500",37.6,White,360
be quiet! Dark Rock Pro 5,89.9,"1300,2000","8.9,23.3",Black,
Cooler Master MasterLiquid 240L Core ARGB,89.44,"350,1750",27.2,Black,240
Thermalright Phantom Spirit EVO,,2150,27,Black,
Corsair iCUE H150i ELITE LCD XT,438,"550,2100","5,34.1",Black,360
Thermalright Aqua Elite V3,44.9,1500,25.6,Black,240
Thermalright Assassin King SE ARGB,20.49,1550,25.6,White,
ID-COOLING FROZN A620 PRO SE,29.99,"300,2000",27.2,Black,
be quiet! Pure Rock 2 Black,62.13,1500,"19.1,26.8",Black,
Corsair iCUE H100i ELITE CAPELLIX XT,99.99,"550,2100","5,34.1",White,240
Noctua NH-U12S chromax.black,89.95,"300,1500","18.6,22.4",Black,
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",White,360
Lian Li Galahad II Trinity SL-INF,189,2100,29,Black,360
Thermalright Frozen Notte ARGB,58.9,2000,27.7,White,360
Thermalright Frozen Notte ARGB,62.9,2000,27.7,Black,360
ARCTIC Freezer 36,63.32,"200,1800",,Black,
Cooler Master Hyper 212 (2023),28.98,"690,2500",32.8,Black,
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,Black,360
Noctua NH-L9x65 chromax.black,69.9,"600,2500","14.8,23.6",Black,
ARCTIC Liquid Freezer III 420,98.55,"200,1700",,Black,420
Cooler Master Hyper 212 Spectrum V3,24.96,"650,1750",27.2,Black / Silver,
ID-COOLING SE-214-XT ARGB,16.98,"500,1500","13.8,30.5",White,
ARCTIC Liquid Freezer III 280,86.23,"200,1700",,Black,280
Lian Li HydroShift LCD 360TL RGB,,"200,2600",33,Black,360
Corsair iCUE LINK TITAN360 RX RGB,199,"300,2100",,Black,360
Lian Li Galahad II Trinity SL-INF,208.3,2100,29,White,360
Thermalright Peerless Assassin 120 SE WHITE ARGB,43.9,1550,25.6,White,
Corsair iCUE H100i RGB ELITE,161.59,"400,1850","5,28.9",Black,240
Thermalright Assassin Spirit 120 EVO,42.9,2000,28.2,Black,
Asus ROG Ryujin III 360 ARGB Extreme,349.99,"1,2800",36,Black,360
Noctua NH-U12A chromax.black,129.94,"450,2000","18.8,22.6",Black,
ID-COOLING SE-903-XT,14.99,"500,2200",25.8,Black,
Thermalright Aqua Elite V3,55.9,1500,25.6,White,360
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"600,2500","14.8,23.6",Black,
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",Black,360
Deepcool AK620 ZERO DARK,,"500,1850",28,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,154.4,"550,2100",,White,360
Corsair iCUE LINK TITAN 360 RX LCD,219.99,"300,2100","10,36",Black,360
Thermalright Peerless Assassin 120 Black,42.69,1550,25.6,Black,
Iceberg Thermal IceFLOE T95,12.99,"1000,2200",32.3,Teal / Silver,
ARCTIC Liquid Freezer III 240 A-RGB,109.99,"200,2000",,Black,240
NZXT Kraken 240 RGB,169.99,"500,1800","17.9,30.6",White,240
ID-COOLING FROZN A410 BLACK,29.99,"500,2000",29.85,Black,
Intel E97379-001,12.99,"1200,2800",22,Silver / Black,
Thermalright Frozen Notte ARGB,48.9,2000,27.7,White,240
be quiet! Pure Rock Slim 2,24.99,,"13.1,25.4",Black / Silver,
Corsair iCUE H170i ELITE LCD XT,458,"500,1700","5,33.8",Black,420
Noctua NH-L9a-AM4,44.95,"600,2500","14.8,23.6",Brown,
Thermalright Assassin X Refined SE RGB,18.89,1550,25.6,Black / Silver,
NZXT Kraken Elite 360 RGB (2024),319.99,"500,2400",30,White,360
