name,price,type,interface,capacity,price_per_gb,color
Apricorn Aegis Fortress L3,12999,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.65,Black
Western Digital My Book Duo,1199.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000,0.027,Black
Western Digital ELEMENTS,59.99,Portable,USB Type-A 3.2 Gen 1,1000,0.06,
Western Digital WD_BLACK P10,116.25,Portable,USB Type-A 3.2 Gen 1,5000,0.023,Black
Sabrent Rocket XTRM-Q,,Desktop,USB Type-C 3.2 Gen 2,16000,,
Apricorn Aegis Fortress,1127.11,Portable,USB Type-A 3.2 Gen 1,4000,0.282,Black
Seagate Expansion,279.99,Desktop,USB Type-A 3.2 Gen 1,20000,0.014,Black
Western Digital My Book Duo,679.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",24000,0.028,Black
Western Digital My Passport,105.99,Portable,USB Type-A 3.2 Gen 1,4000,0.026,Black
Apricorn Aegis Fortress L3,1153.4,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.288,Black
Samsung T5 EVO Portable,445.41,Portable,USB Type-C 3.2 Gen 1,8000,0.056,Black
Samsung T9 Portable,315.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.079,Black
Verbatim Vx460,34.99,Portable,USB Type-A 3.2 Gen 1,128,0.273,Black
Western Digital ELEMENTS,169.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.021,Black
Seagate Expansion,279.99,Desktop,USB Type-A 3.2 Gen 1,24000,0.012,Black
Crucial X10 Pro,279.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.07,Black
Western Digital My Book Duo,999.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,0.028,Black
Corsair EX400U,,Portable,USB Type-C 4.0 Gen 3x2,4000,,Black
Samsung T7 Portable,89.63,Portable,USB Type-C 3.2 Gen 1,1000,0.09,Black / Silver
Seagate Backup Plus Portable,92.9,Portable,USB Type-A 3.2 Gen 1,4000,0.023,Black
SanDisk Extreme Portable V2,95.99,Portable,USB Type-C 3.2 Gen 1,1000,0.096,Black / Orange
Seagate Expansion,188.44,Desktop,USB Type-A 3.2 Gen 1,4000,0.047,
Western Digital WD_BLACK D10,189.99,Desktop,USB Type-A 3.2 Gen 2,8000,0.024,Black
Western Digital easystore,309.99,Desktop,USB Type-A 3.2 Gen 1,14000,0.022,Black
Western Digital My Passport,74.98,Portable,USB Type-A 3.2 Gen 1,2000,0.037,Black
Samsung T7 Shield,289.52,Portable,USB Type-C 3.2 Gen 2,4000,0.072,Black
Apricorn Padlock DT FIPS,1087.67,Desktop,USB Type-A 3.2 Gen 1,22000,0.049,Black
Seagate Expansion,319.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.018,Black
SanDisk Extreme Portable V2,239.99,Portable,USB Type-C 3.2 Gen 1,4000,0.06,Black / Orange
Seagate Backup Plus Slim,79.98,Portable,USB Type-A 3.2 Gen 1,1000,0.08,Black
Samsung T5,292.64,Portable,USB Type-C 3.2 Gen 1,1000,0.293,
Western Digital WD_BLACK P10,113.88,Portable,USB Type-A 3.2 Gen 1,4000,0.028,Black
SanDisk Extreme Portable V2,134.99,Portable,USB Type-C 3.2 Gen 1,2000,0.067,Black / Orange
Crucial X9,199.99,Portable,USB Type-C 3.2 Gen 2,4000,0.05,Black
Western Digital My Passport,118.95,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
SanDisk SDSSDT40-8T00-NA25,499.99,Desktop,USB Type-C 3.2 Gen 2,8000,0.062,Black
Western Digital My Passport,69.99,Portable,USB Type-A 3.2 Gen 1,2000,0.035,White
Samsung T7 Shield,149.99,Portable,USB Type-C 3.2 Gen 2,2000,0.075,Black
Western Digital My Passport,64.55,Portable,USB Type-A 3.2 Gen 1,1000,0.065,Black
Western Digital ELEMENTS,279.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.02,Black
Western Digital ELEMENTS,219.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.022,Black
Western Digital My Book,105,Desktop,USB Type-A 3.2 Gen 1,4000,0.026,Black
Seagate Expansion,218.88,Desktop,USB Type-A 3.2 Gen 1,8000,0.027,
Samsung T5 EVO Portable,132.99,Portable,USB Type-C 3.2 Gen 1,2000,0.066,Black
Western Digital WD_BLACK P10,139.99,Portable,USB Type-A 3.2 Gen 1,2000,0.07,Black
Western Digital easystore,249.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",12000,0.021,Black
SanDisk Professional PRO-Blade Transport,339.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.085,Black
Toshiba Canvio Basics 3.0,101,Portable,,2000,0.05,
Samsung T7 Portable,129.99,Portable,USB Type-C 3.2 Gen 1,2000,0.065,Black / Silver
ADATA DashDrive Durable HD650,66.31,Portable,USB Type-A 3.2 Gen 1,1000,0.066,
Western Digital WD_BLACK D10,289.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.024,Black
Western Digital ‎WDBU6Y0050BBK-WESN,121.1,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
Crucial X9 Pro,234.99,Portable,USB Type-C 3.2 Gen 2,4000,0.059,Silver
Western Digital My Passport,134.99,Portable,USB Type-A 3.2 Gen 1,5000,0.027,White
Apricorn Aegis Padlock DT,622.27,Desktop,USB Type-A 3.2 Gen 1,10000,0.062,Black
Crucial X9,109.99,Portable,USB Type-C 3.2 Gen 2,2000,0.055,Black
Corsair EX100U,279.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.07,Black
Western Digital My Passport,109.99,Portable,USB Type-A 3.2 Gen 1,4000,0.027,White
Seagate One Touch,102.66,Portable,USB Type-A 3.2 Gen 1,2000,0.051,Black
Western Digital ELEMENTS,,Portable,USB Type-A 3.2 Gen 1,2000,,
Crucial X6,99.99,Portable,USB Type-C 3.2 Gen 2,2000,0.05,Black
Western Digital ELEMENTS,259.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.022,
KIOXIA EXCERIA PLUS,127.01,Portable,USB Type-C 3.2 Gen 2,500,0.254,Gray
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,512,,Black
Western Digital My Book Duo,469.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.029,Black
Apricorn Aegis Fortress L3,4999,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.312,Black
Seagate Backup Plus Hub,249.99,Desktop,USB Type-A 3.2 Gen 2,8000,0.031,
Seagate Expansion,184.99,Portable,USB Type-A 3.2 Gen 1,5000,0.037,Black
Seagate Backup Plus,110,Portable,USB Type-A 3.2 Gen 1,1000,0.11,
Crucial X9,64.99,Portable,USB Type-C 3.2 Gen 2,1000,0.065,Black
Samsung T9 Portable,199.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.1,Black
