name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999,Circumaural,"6,75",false,false,Open,Silver / Brown
HP HyperX Cloud II,68.54,Circumaural,"15,25",true,false,Closed,Black / Red
Razer BlackShark V2 X,36.83,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",316.99,Circumaural,"10,40",true,true,Closed,Black
Logitech G435,49.61,Circumaural,"20,20",true,true,Closed,Black / Yellow
Logitech PRO X 2 LIGHTSPEED,199,Circumaural,"20,20",true,true,Closed,Black
Logitech PRO X 2 LIGHTSPEED,209.98,Circumaural,"20,20",true,true,Closed,White
Corsair VOID RGB ELITE,69.99,Circumaural,"20,30",true,true,Closed,White
Beyerdynamic DT 770 PRO,169.99,Circumaural,"5,35",false,false,Closed,Gray
SteelSeries Arctis Nova 1,49,Circumaural,"20,22",true,false,Closed,Black
Razer BlackShark V2 Pro (2023),168.99,Circumaural,"12,28",true,true,Closed,Black
Logitech Pro X,98.92,Circumaural,"20,20",true,false,Closed,Black
Logitech ASTRO A50 X,337.98,Circumaural,"20,20",true,true,Closed,Black
Logitech G432,37.01,Circumaural,"20,20",true,false,Closed,Black / Blue
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Black
HP HyperX Cloud III,119.94,Circumaural,"10,21",true,true,Closed,Black
Sennheiser HD 820,1999.95,Circumaural,"6,48",false,false,Closed,Black
Razer Kraken V4 Pro,369.55,Circumaural,"20,28",true,true,Closed,Black
SteelSeries Arctis Nova 7,159.99,Circumaural,"20,22",true,true,Closed,Black
Corsair VOID RGB ELITE,69.98,Circumaural,"20,30",true,true,Closed,Black
Logitech ASTRO A50 X,349.99,Circumaural,"20,20",true,true,Closed,White
Yamaha EPH-20PI,4.99,In Ear,"20,21",false,false,Closed,Black / Pink
Asus ROG Delta II,209.99,Circumaural,"20,20",true,true,Closed,Black
Beyerdynamic DT990 Premium Limited-Edition,179.99,Circumaural,"5,35",false,false,Open,Black
Logitech G733,108.9,Circumaural,"20,20",true,true,Closed,Black
Logitech G733,120.37,Circumaural,"20,20",true,true,Closed,White / Gray
Corsair Virtuoso RGB,139.99,Circumaural,"20,40",true,true,Closed,White
HP HyperX Cloud Alpha,77.98,Circumaural,"13,27",true,false,Closed,Black / Red
Beyerdynamic DT 990 Pro 250,,Circumaural,"5,35",false,false,Open,Black / Gray
HP HyperX Cloud Alpha,149.93,Circumaural,"15,21",true,true,Closed,Black / Red
Razer Kraken V3 X,39.97,Circumaural,"12,28",true,false,Closed,Black
HiFiMAN HE1000 Stealth,1199,Circumaural,"8,65",false,false,Open,Silver / Brown
Razer Barracuda X,79.98,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 800 S,1599.95,Circumaural,"4,51",false,false,Open,Black / Silver
SteelSeries Arctis Pro,204.48,Circumaural,"10,40",true,true,Closed,Black
HP HyperX Cloud Stinger 2 Core,34.99,Circumaural,"10,25",true,false,Closed,Black
Beyerdynamic DT1990 Pro,399.99,Circumaural,"5,40",false,false,Open,Black
Logitech Pro X,129.49,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 560S,179.95,Circumaural,"6,38",false,false,Open,Black
Corsair VIRTUOSO MAX,249.99,Circumaural,"20,40",true,true,Closed,Black
SteelSeries Arctis Nova 1,49.99,Circumaural,"20,22",true,false,Closed,White
Razer Barracuda X,99.99,Circumaural,"20,20",true,true,Closed,White / Gray
SteelSeries Arctis Nova 5,109.12,Circumaural,"20,22",true,true,Closed,Black
Razer Barracuda Pro,199.99,Circumaural,"20,20",true,true,Closed,Black
Logitech G735,199.99,Circumaural,"20,20",true,true,Closed,White
Audio-Technica ATH-M50x,149,Circumaural,"15,28",false,false,Closed,Black / Silver
HP HyperX Cloud II,79.98,Circumaural,"15,20",true,true,Closed,Black / Red
HP HyperX CloudX,49.99,Circumaural,"15,25",true,false,Closed,Black / Silver
Audeze Maxwell for Xbox Series X|S,296.75,Circumaural,"10,50",true,true,Closed,Black / Green
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"20,20",true,false,Closed,Black / Green
Corsair HS80 RGB,119.99,Circumaural,"20,40",true,true,Closed,Black
Razer Kraken Kitty,249.99,Circumaural,"20,20",true,false,Closed,Pink
Razer BlackShark V2 Pro (2023),179,Circumaural,"12,28",true,true,Closed,White / Black
HiFiMAN HE1000,1999,Circumaural,"8,65",false,false,Open,Silver / Brown
Astro A50 + Base Station,234.21,Circumaural,"20,20",true,true,Closed,Black / Gold
Sennheiser HD 650,395,Circumaural,"10,39.5",false,false,Open,Black
Sony WH1000XM4,248,Circumaural,"20,20",true,true,Closed,Black
Philips SHP9500,79.98,Circumaural,"12,35",false,false,Open,Black
Logitech G535 LIGHTSPEED,87.98,Circumaural,"20,20",true,true,Closed,Black / Blue
HP HyperX Cloud III,119,Circumaural,"10,21",true,true,Closed,Black / Red
Thermaltake Pulse G100,11.83,Circumaural,"20,20",true,false,Closed,Black
