name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,167.82,2000,0.084,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,59.77,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,60.68,1000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,119.41,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,318.62,4000,0.08,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,147,2000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,68.95,2000,0.034,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,109.99,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,106.94,2000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,92.97,2000,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,132,1000,0.132,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,279.99,4000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,89.99,1000,0.09,SSD,1024,2.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,1099.99,8000,0.137,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,479.99,24000,0.02,7200,512,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,39.99,500,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,50.97,1000,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X,89.22,1000,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Western Digital Blue SN580,61.58,1000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,179,2000,0.089,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,219.99,4000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,107.89,1000,0.108,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,56,1000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,49.99,1000,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 EVO Plus,269.99,4000,0.067,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Mushkin Source HC,2234.66,16000,0.14,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X,579.49,8000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Seagate BarraCuda,84.99,4000,0.021,5400,256,3.5,SATA 6.0 Gb/s
Intel SSDPEDMD020T401,3937,2000,1.968,SSD,,PCIe,PCIe x4
Patriot P300,28.99,512,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,39.99,1000,0.04,7200,64,3.5,SATA 6.0 Gb/s
Samsung 990 EVO,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Intel Optane 905P,4500,1500,3,SSD,,2.5,U.2
Samsung 870 Evo,149.99,2000,0.075,SSD,2048,2.5,SATA 6.0 Gb/s
Klevv CRAS C910,50.99,1000,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Kingston NV2,102.87,2000,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,119,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,144.99,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,488.99,4000,0.122,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Evo Plus,87.32,500,0.175,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
