name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core,37.99,Gaming,,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
Asus ROG Azoth Extreme,499.99,Gaming,ROG NX Snow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K552,32.99,Gaming,Outemu Blue,Red,true,Wired,Black
Logitech MX 5500 Revolution,741.69,Standard,,,false,Wireless,Black
Razer Huntsman Mini,69.98,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech K120,12.34,Standard,,,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V3 Pro,219.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Huntsman Mini,69.98,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
SteelSeries Apex Pro TKL (2023),199.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 Lightspeed,249.99,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
SteelSeries Apex 3 TKL RGB,34.97,Gaming,,RGB,true,Wired,Black
Logitech PRO X,159.99,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",White
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech G PRO,63,Gaming,GX Blue,RGB,true,Wired,Black
Redragon K582 SURARA,39.99,Gaming,Outemu Red,RGB,false,Wired,Black
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Corsair K55 RGB PRO,59.99,Gaming,,Multicolor,false,Wired,Black
HP USB Keyboard,11.99,Standard,,,false,Wired,Black
SteelSeries Apex Pro,199.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
Corsair K100 RGB,220.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Asus ROG Strix Scope II 96,149.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 PLUS,152.31,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
Razer Ornata V3 X,34.97,Gaming,,RGB,false,Wired,Black
Logitech G413 SE,48,Gaming,Kailh LT Brown,White,true,Wired,Black
SteelSeries Apex Pro Mini,118,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Verbatim 99201,19.98,Standard,,,false,Wired,Black
Logitech G915 TKL,122.43,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Wireless Combo MK270,22.99,Standard,,,false,Wireless,Black
Cooler Master SK620,27.42,Gaming,TTC Blue,RGB,true,Wired,Gray / Black
Razer BlackWidow V3,109.99,Gaming,Razer Green,RGB,true,Wired,Black
Logitech G512 CARBON,94.99,Gaming,GX Brown,RGB,false,Wired,Black
Asceny One,19.98,Mini,Gateron Blue Optical,RGB,true,Wired,Black
Logitech G715,99.99,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
G.Skill KM360,49.99,Standard,Cherry MX Red,White,true,Wired,White
HP HyperX Alloy Origins Core,79.98,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G213 PRODIGY,49.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 3,47.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V4 Pro 75%,299.99,Mini,Razer Gen-3 (Tactile),RGB,true,"Wireless, Bluetooth Wireless",Black
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,false,Wired,Black
Dell KB216,11.99,Slim,,,false,Wired,Black
Corsair K100 AIR Wireless,229.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro TKL (2023),149.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
SteelSeries Apex 7 TKL,86.7,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
Keychron C3 Pro,39.99,Standard,Keychron K Pro Red,Red,true,Wired,Black / Red
Razer Ornata V3,59.99,Gaming,,RGB,true,Wired,Black
Razer Huntsman Mini,71.98,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Keychron V1 Max,84,Mini,Gateron Jupiter Brown,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Corsair K65 60%,109.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,Black
Verbatim 70734,13.39,Standard,,,false,Wired,Black
Razer Blackwidow V3 - Quartz,99.99,Gaming,Razer Green,RGB,false,Wired,Pink
Redragon S101,32.99,Gaming,,,false,Wired,Black / Red
SteelSeries Apex 100,29.99,Gaming,,Blue,false,Wired,Black
Microsoft Natural Desktop 7000,799.95,Ergonomic,,,false,Wireless,Black / Silver
SteelSeries Apex Pro TKL,219.99,Gaming,SteelSeries QX2 OmniPoint,RGB,true,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Corsair OPX,RGB,false,Wired,White
MSI Vigor GK30,29.99,Gaming,,RGB,false,Wired,Black
Logitech G710 Plus,284.52,Gaming,Cherry MX Brown,White,false,Wired,Black
Razer BlackWidow V4 75%,189.99,Mini,Razer Orange,RGB,true,Wired,White
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,false,Wired,Black
AmazonBasics KU-0833 +MSU0939,14.89,Standard,,,false,Wired,Black
Razer Huntsman Mini,79.98,Mini,Razer Red Optical Linear,RGB,true,Wired,White
Razer Huntsman V2,129.99,Gaming,Razer Purple Optical Clicky,RGB,false,Wired,Black
Tecware Phantom RGB,49.99,Gaming,Outemu Red,RGB,true,Wired,Black
Logitech MK120,17.99,Slim,,,false,Wired,Black
SteelSeries Apex 5,68.42,Gaming,,RGB,false,Wired,Black
Corsair K70 CORE,79.99,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
SteelSeries Apex Pro Mini Wireless,179.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
Gigabyte AORUS K1,232,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech G915 Lightspeed,134.34,Gaming,Logitech GL Clicky,RGB,false,Wireless,Black
Corsair K70 PRO MINI,94.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
HP HyperX Alloy Origins,89.99,Gaming,HyperX Red,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,228.66,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Razer BlackWidow V3 Mini HyperSpeed,149.9,Gaming,Razer Green,RGB,true,Wireless,Black
Keychron K2 HE,129.99,Standard,Gateron Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Green
Corsair K100 RGB,243.74,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Logitech K120,25.4,Standard,,,false,Wired,Black
Corsair K65 RGB MINI,69.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
