name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance RGB 32 GB,89.99,"5,6000","2,16",2.812,Black,12,36
Corsair Vengeance LPX 16 GB,39.99,"4,3200","2,8",2.499,Black / Yellow,10,16
Corsair Vengeance 32 GB,117.99,"5,6000","2,16",3.687,Black / Gray,10,30
G.Skill Trident Z5 RGB 64 GB,209.99,"5,6400","2,32",3.281,Black / Silver,10,32
Corsair Vengeance RGB Pro 32 GB,84.99,"4,3600","2,16",2.656,Black,10,18
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6000","2,16",2.812,Black,10,30
Corsair Vengeance LPX 32 GB,64.98,"4,3600","2,16",2.031,Black / Yellow,10,18
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6000","2,16",3.125,White,10,30
G.Skill Flare X5 32 GB,96.99,"5,6000","2,16",3.031,Black,10,30
Corsair Vengeance RGB 64 GB,194.99,"5,6000","2,32",3.047,Black,10,30
G.Skill Trident Z5 Neo RGB 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
G.Skill Ripjaws V 32 GB,47.99,"4,3200","2,16",1.5,Black,10,16
Corsair Vengeance LPX 32 GB,48.99,"4,3200","2,16",1.531,Black / Yellow,10,16
Crucial Pro Overclocking 32 GB,82.99,"5,6000","2,16",2.593,Black,12,36
Silicon Power GAMING 16 GB,24.97,"4,3200","2,8",1.561,Black / Gray,10,16
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,6000","2,16",3.125,Black,10,30
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,White,12,36
Silicon Power Value Gaming 32 GB,84.99,"5,6000","2,16",2.656,Black,10,30
Corsair Vengeance 64 GB,156.99,"5,5200","2,32",2.453,Black,15.385,40
G.Skill Flare X5 32 GB,81.99,"5,6000","2,16",2.562,Black,12,36
Corsair Dominator Titanium 64 GB,264.99,"5,6600","2,32",4.14,White,9.697,32
G.Skill Ripjaws V 64 GB,1351.77,"4,3200","4,16",21.121,Black,8.75,14
Corsair Vengeance RGB Pro 16 GB,54.99,"4,3200","2,8",3.437,Black,10,16
Kingston FURY Beast 32 GB,117.84,"5,6000","2,16",3.683,Black,10,30
Silicon Power GAMING 32 GB,42.97,"4,3200","2,16",1.343,Black,10,16
