name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G305 LIGHTSPEED,29.99,Optical,"Wired, Wireless",12000,Right,Black
Logitech G502 Hero,37.85,Optical,Wired,25600,Right,Black
Razer Basilisk V3,39.99,Optical,Wired,26000,Right,Black
Logitech PRO X Superlight 2,119.99,Optical,"Wired, Wireless",32000,Right,Black
Logitech TrackMan,399.95,Trackball,Wireless,,Right,Black / Silver
Razer Viper V3 Pro,144.19,Optical,"Wired, Wireless",35000,Right,Black
Logitech G Pro X Superlight,89,Optical,Wireless,25400,Right,Black
Logitech G502 LIGHTSPEED,89.99,Optical,Wireless,25600,Right,Black
Logitech G305 LIGHTSPEED,30.99,Optical,"Wired, Wireless",12000,Right,White
Logitech PRO X Superlight 2,140.34,Optical,"Wired, Wireless",32000,Right,White
Razer DeathAdder Essential,29.99,Optical,Wired,6400,Right,Black / Green
Razer DeathAdder V3 Pro Faker Edition,269.95,Optical,"Wired, Wireless",30000,Right,Red / Black
Logitech G502 X Plus,119.49,Optical,"Wired, Wired, Wireless",25600,Right,Black
Asus ROG Harpe Ace Extreme,249.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000,Right,White
Verbatim Bravo,6.03,Optical,Wired,,Both,Black
SteelSeries Rival 3,20.99,Optical,Wired,8500,Right,Black
Logitech G Pro,69,Optical,"Wired, Wireless",25600,Both,Black
Razer Basilisk V3 Pro w/Dock Pro,,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech G502 X Plus,129.99,Optical,"Wired, Wired, Wireless",25600,Right,White
Razer Viper V3 Pro,159.99,Optical,"Wired, Wireless",35000,Right,White
Logitech G203 Lightsync,25.39,Optical,Wired,8000,Right,Black
Razer DeathAdder Essential,27,Optical,Wired,6400,Right,White
Logitech B100,7.99,Optical,Wired,800,,Black
Logitech G Pro X Superlight,89.99,Optical,Wireless,25400,Right,White
Glorious Model O-,79.99,Optical,"Wired, Wireless",19000,Right,Black
