name,price,type,efficiency,wattage,modular,color
Corsair RM850e (2023),,ATX,gold,850,Full,Black
Corsair RM750e (2023),,ATX,gold,750,Full,Black
Corsair RM1000e (2023),179.99,ATX,gold,1000,Full,Black
MSI MAG A750GL PCIE5,94.99,ATX,gold,750,Full,Black
MSI MAG A650BN,69.98,ATX,bronze,650,false,Black
Corsair RM650 (2023),,ATX,gold,650,Full,Black
MSI MAG A850GL PCIE5,109.99,ATX,gold,850,Full,Black
MSI MAG A650GL,86.99,ATX,gold,650,Full,Black
MSI MAG A550BN,59.99,ATX,bronze,550,false,Black
Thermaltake Smart,39.99,ATX,plus,500,false,
Corsair SF1000 (2024),229.99,SFX,platinum,1000,Full,Black
Corsair SF750 (2024),179.99,SFX,platinum,750,Full,Black
MSI MAG A850GL PCIE5,129.99,ATX,gold,850,Full,White
Thermaltake Toughpower GF3 TT Premium,112.08,ATX,gold,850,Full,Black
Corsair RM850,139.99,ATX,gold,850,Full,White / Black
Corsair RM1000x (2024),189.99,ATX,,1000,Full,Black
Segotep GN,49.99,ATX,gold,650,false,Black
Corsair SF850 (2024),198.4,SFX,platinum,850,Full,Black
Corsair AX1600i,609.99,ATX,titanium,1600,Full,
Corsair RM850x (2021),199,ATX,gold,850,Full,Black
Asus ROG THOR 1600T Gaming,899,ATX,titanium,1600,Full,Silver / Black
Thermaltake Toughpower GX2,59.99,ATX,gold,600,false,Black
Corsair RM850x (2024),134.99,ATX,,850,Full,Black
be quiet! Pure Power 12 M,119.99,ATX,gold,850,Full,Black
Thermaltake Smart,40.99,ATX,plus,600,false,
Gigabyte UD750GM,,ATX,gold,750,Full,Black
Silverstone HELA,511.99,ATX,,2050,Full,Black / White
Corsair CX (2023),66.45,ATX,bronze,650,false,Black
be quiet! Pure Power 12 M,99.9,ATX,gold,750,Full,Black
be quiet! Dark Power 13,249.9,ATX,titanium,1000,Full,Black
Corsair CX (2023),59.99,ATX,bronze,550,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,89.99,ATX,gold,750,Full,Black
Corsair RM750x (2021),,ATX,gold,750,Full,Black
Lian Li EDGE,189.99,ATX,platinum,1000,Full,White
MSI MAG A650BE,59.99,ATX,bronze,650,Semi,Black
Thermaltake Toughpower GF3 TT Premium,94.99,ATX,gold,750,Full,Black
Corsair CX (2023),79.98,ATX,bronze,750,false,Black
Corsair HX1500i (2023),359.99,ATX,platinum,1500,Full,Black
Corsair HX1200i,319.99,ATX,platinum,1200,Full,Black
Lian Li SP,139,SFX,gold,750,Full,Black
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Corsair RM1000x (2021),259.99,ATX,gold,1000,Full,Black
MSI A1000G PCIE5,199.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower SFX,119.59,SFX,gold,850,Full,Black
Cooler Master MWE Gold 850 - V2,99.99,ATX,gold,850,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,89.99,ATX,gold,750,Full,Black
EVGA 500 W1,47.99,ATX,plus,500,false,
Corsair RM750,129.94,ATX,gold,750,Full,White / Black
Corsair CX650M (2021),79.99,ATX,bronze,650,Semi,Black
be quiet! Pure Power 12 M,,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,354.99,ATX,platinum,1200,Full,Silver / Black
NZXT C1000 (2024),144.99,ATX,gold,1000,Full,Black
MSI MPG A850G PCIE5,140.81,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Titanium,1252.49,ATX,titanium,750,Full,
MSI MEG Ai-T PCIE5,699.99,ATX,titanium,1600,Full,Black / Gold
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi,Black
Thermaltake Smart,54.99,ATX,plus,700,false,
Thermaltake Toughpower GF1 (2024),94.99,ATX,gold,850,Full,Black
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
Corsair RM750e (2025),99.99,ATX,,750,Full,Black
MSI MEG Ai1300P PCIE5,356.84,ATX,platinum,1300,Full,Black / Copper
SeaSonic FOCUS Plus 650 Gold,135.43,ATX,gold,650,Full,
MSI MAG A750BN PCIE5,84.99,ATX,bronze,750,false,Black
Thermaltake Toughpower GF3 TT Premium,144.99,ATX,gold,1200,Full,Black
Asus TUF Gaming 750G,109.99,ATX,gold,750,Full,Black
Gigabyte UD850GM,102.25,ATX,gold,850,Full,Black
Apevia CAPTAIN,31.99,ATX,,550,false,Black
NZXT C850 (2024),114.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF A3 Snow,169.99,ATX,gold,1050,Full,White
Corsair RM750x (2024),119.99,ATX,,750,Full,Black
SeaSonic VERTEX GX-1000,174.9,ATX,gold,1000,Full,Black / Silver
Corsair RM1200x SHIFT,228.63,ATX,gold,1200,Full / Side,Black
CoolMax I-500,,ATX,,500,false,
be quiet! Pure Power 12 M,89.9,ATX,gold,650,Full,Black
Asus ROG Strix Aura Edition,309.99,ATX,gold,1000,Full,White
Lian Li EDGE,225.8,ATX,platinum,1300,Full,White
Asus TUF Gaming 850G,139.99,ATX,gold,850,Full,Black
EVGA 400 N1,64,ATX,,400,false,
ADATA XPG Core Reactor II,89.99,ATX,gold,750,Full,Black
Gigabyte UD1000GM,127.38,ATX,gold,1000,Full,Black
Lian Li EDGE,172.5,ATX,platinum,1000,Full,Black
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black
Thermaltake Toughpower GF1 (2024),82.99,ATX,gold,750,Full,Black
Corsair RM650e (2025),89.99,ATX,,650,Full,Black
Segotep GM,89.99,ATX,gold,750,Full,Black
Lian Li EDGE,217.44,ATX,platinum,1300,Full,Black
Lian Li SP850,,SFX,gold,850,Full,White
Thermaltake Smart BX1 650,59.99,ATX,bronze,650,false,Black
MSI MAG A1000GL PCIE5,149.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 Snow,129.99,ATX,gold,850,Full,White
ADATA XPG Core Reactor II,79.98,ATX,gold,650,Full,Black
be quiet! Dark Power Pro 13,,ATX,titanium,1300,Full,Black
Corsair RM1000e (2025),169.99,ATX,,1000,Full,Black
Corsair RM1000x SHIFT,219.99,ATX,gold,1000,Full / Side,White
EVGA SuperNOVA 750 GT,128.58,ATX,gold,750,Full,Black
EVGA SuperNOVA 1200 P3,199.99,ATX,platinum,1200,Full,Black / Silver
EVGA 600 W1,65.98,ATX,plus,600,false,
Asus TUF Gaming 1000G,291.38,ATX,gold,1000,Full,Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
EVGA 700 BR,78.8,ATX,bronze,700,false,
Corsair HX1000i (2023),259.99,ATX,platinum,1000,Full,Black
Gigabyte P450B,89.99,ATX,bronze,450,false,Black
SeaSonic VERTEX PX-1200,285.2,ATX,platinum,1200,Full,Black / Silver
SeaSonic PRIME PX-2200 ATX 3 (2024),,ATX,platinum,2200,Full,Black
be quiet! Straight Power 12,159.9,ATX,platinum,850,Full,Black
Corsair RM850e (2025),129.99,ATX,,850,Full,Black
Gigabyte P850GM,174.9,ATX,gold,850,Full,Black
Asus ROG LOKI,169.99,SFX,platinum,750,Full,Black / Silver
SeaSonic FOCUS GX,163.79,ATX,gold,750,Full,Black
Segotep GM,89.99,ATX,gold,850,Full,Black
be quiet! Dark Power 13,219.9,ATX,titanium,850,Full,Black
Corsair RM850x SHIFT,138.97,ATX,gold,850,Full / Side,White
be quiet! Pure Power 11,152.93,ATX,gold,400,false,Black
be quiet! Pure Power 12,149.75,ATX,gold,1000,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,539.99,ATX,titanium,1600,Full,Black / Silver
Deepcool PK650D,,ATX,bronze,650,false,Black
SeaSonic VERTEX PX-1000,249.99,ATX,platinum,1000,Full,Black / Silver
