name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,7.95,3.5
Thermal Grizzly Kryonaut,6.99,1
ARCTIC MX-6,14.79,4
Prolimatech PK-Zero,189.21,600
Noctua NT-H2,12.95,3.5
Thermal Grizzly Kryonaut Extreme,17.99,2
ARCTIC MX-4 (2019),6.99,4
Corsair TM30,7.88,3
Thermalright TF7,4.38,2
Noctua NT-H1,8.94,3.5
Corsair XTM70,19.98,3
ARCTIC MX-6,11.39,2
Thermal Grizzly Kryonaut Extreme,89.99,33.84
Noctua NT-H2,36,10
ARCTIC MX-6,,8
Corsair XTM50,9.99,5
ARCTIC MX-4 w/ Spatula,11.99,8
Thermal Grizzly Kryonaut,19,5.5
ARCTIC MX-4,,4
KINGPINcooling KPx,54.6,30
Thermal Grizzly Conductonaut Extreme,44.99,5
Arctic Silver Ceramique 2 Tri-Linear,3.85,2.7
Thermal Grizzly Conductonaut Extreme,17.99,1
ARCTIC MX-2,,4
ARCTIC MX-4 w/ Spatula,,4
Thermalright TF9,4.88,1.5
Thermal Grizzly Hydronaut,13.04,3.9
Arctic Silver 5 High-Density Polysynthetic Silver,24.99,12
Prolimatech PK-3 Nano Aluminum High-Grade,44.99,30
KINGPINcooling KPx,9.5,1
Asus ROG RG-07 KIT,19.98,3
Cooler Master CryoFuze,5.99,2
Thermal Grizzly Kryonaut,29.95,11.1
ARCTIC MX-4 (2019),55.99,45
Thermal Grizzly Aeronaut,8.15,3.9
ARCTIC MX-4,36.5,20
Thermal Grizzly Conductonaut,12.6,1
Gelid Solutions GC-Extreme,9.99,3.5
ARCTIC MX-4 (2019),11.72,8
KINGPINcooling KPx,27.02,10
Zalman STC7,4.84,4
Thermal Grizzly Polartherm X-8,5.9,2
Cooler Master IC ESSENTIAL E2,,3.5
Cooler Master MasterGel Pro,14.99,1.5
be quiet! DC2,7.9,3
be quiet! C2 Pro,7.9,1
ARCTIC MX-5,14.99,4
Asus ROG RG-07,8.99,3
Thermaltake CLZ0022,,4
Thermalright TF9,6.09,2.9
Cooler Master IC ESSENTIAL E1,12,3.75
Prolimatech PK-3 Nano Aluminum High-Grade,11.99,1.5
Prolimatech PK-3 Nano Aluminum High-Grade,22.15,5
Thermaltake CL-O002-GROSGM-A,12.99,40
Cooler Master MasterGel Maker,22.1,1.5
Thermalright TF4,,1.5
Deepcool Z5,,3
ARCTIC MX-4,21.99,20
Cooler Master HTK-002,,0.01
StarTech HeatGrease,5.43,20
Cooler Master CryoFuze Violet,,2
StarTech Metal Oxide,9.99,1.5
Thermalright TFX,,2
Prolimatech PK-1,14.99,5
Thermal Grizzly Polartherm X-10,7.99,5
Zalman STC9,5.95,4
Thermal Grizzly Polartherm X-10,23.19,40
Thermaltake TG-50,,4
Arctic Silver Ceramique 2 Tri-Linear,14,25
Prolimatech PK-2 Nano Aluminum High-Grade,39.33,30
Zalman STC8,4.95,1.5
Thermaltake CL-O004-GROSGM-A,12.98,4
